Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
17-June-2014,1771,1846.2,1760.2,1839.45,1806.8763488544,189420,13854,342258518,32418,17.11,86,68.45,874
16-June-2014,1818,1829.4,1750,1772.25,1776.7342755108,144488,12833,256716782,19828,13.72,79.4,-45.75,875
13-June-2014,1895,1908.75,1811,1819.1,1851.2023873303,199721,13602,369723992,57900,28.99,97.75,-75.9,876
12-June-2014,1928.65,1929,1893.05,1904.5,1909.1865089472,106011,7937,202394771,14719,13.88,35.95,-24.15,877
11-June-2014,1935.05,1968.75,1928.05,1941.3,1947.0391824953,112244,6959,218543466,23764,21.17,40.7,6.25,878
10-June-2014,1970,1971.9,1930.05,1935.5,1940.8827624804,89340,6473,173398466,11722,13.12,41.85,-34.5,879
9-June-2014,1986,1990,1960,1966.2,1970.674440336,99524,9435,196129403,26638,26.77,30,-19.8,880
6-June-2014,1950,1982.5,1945.5,1974,1968.5736593384,131409,8526,258688296,15659,11.92,37,24,881
5-June-2014,1925,1950,1919,1946.9,1936.7258099372,111058,7696,215088895,14931,13.44,31,21.9,882
4-June-2014,1899,1932.4,1882,1924.65,1912.6409355235,133444,8147,255230457,16585,12.43,50.4,25.65,883
3-June-2014,1905,1924.85,1887.6,1899.5,1905.5217789144,170486,16871,324864786,17360,10.18,37.25,-5.5,884
2-June-2014,1834.8,1910,1823.55,1902.35,1879.0755054642,151989,9652,285598807,20659,13.59,86.45,67.55,885
30-May-2014,1860,1865,1824.6,1836.15,1841.2610841802,124186,8475,228658849,14174,11.41,40.4,-23.85,886
29-May-2014,1855,1890.5,1851,1865.55,1869.8814221153,151352,10167,283010293,35958,23.76,39.5,10.55,887
28-May-2014,1851,1874.5,1826,1861.2,1847.282039699,110683,8369,204462718,17378,15.7,48.5,10.2,888
27-May-2014,1869.9,1870,1831.75,1848.55,1846.1434897611,117200,9503,216368017,22108,18.86,38.25,-21.35,889
26-May-2014,1870,1927.3,1848,1873.8,1896.0009650766,193767,14089,367382419,35669,18.41,79.3,3.8,890
23-May-2014,1844.1,1873.9,1842.6,1864.95,1854.3425742574,91405,6519,169496183,15194,16.62,31.3,20.85,891
22-May-2014,1826,1855.9,1807,1841.15,1838.6983112263,135779,9159,249656618,13874,10.22,48.9,15.15,892
21-May-2014,1855,1865,1807.9,1815.25,1834.128350808,148024,11304,271495015,10772,7.28,57.1,-39.75,893
20-May-2014,1865,1890,1842,1855.75,1865.7146259387,180973,13259,337643973,23960,13.24,48,-9.25,894
19-May-2014,1772,1871.05,1772,1854.85,1823.2362369084,274030,19168,499621426,65109,23.76,99.05,82.85,895
16-May-2014,1734.8,1878.2,1683.9,1756.85,1776.2357194256,726809,45402,1290984107,121682,16.74,194.3,22.05,896
15-May-2014,1640,1674.7,1640,1663.65,1663.4179366104,175139,12972,291329354,29817,17.02,34.7,23.65,897
14-May-2014,1647,1663.05,1632.6,1638.55,1645.2449127786,180403,12024,296807118,40362,22.37,30.45,-8.45,898
13-May-2014,1666,1680.8,1640,1649.75,1659.8568780344,271880,19378,451281888,62877,23.13,40.8,-16.25,899
12-May-2014,1641,1691,1639,1646.3,1667.5116770235,278881,19870,465037324,46192,16.56,52,5.3,900
9-May-2014,1554,1651.95,1548,1631.5,1597.0017446866,305499,21620,487882436,56899,18.62,103.95,77.5,901
8-May-2014,1541,1559.35,1534.05,1555.75,1546.4920908702,179729,9757,277949477,80019,44.52,25.3,14.75,902
7-May-2014,1530,1553.7,1519.95,1540.9,1540.7325120986,120469,10546,185610505,18903,15.69,33.75,10.9,903
6-May-2014,1556,1562.9,1531.35,1537.95,1548.8708163935,100601,9320,155817953,23977,23.83,31.55,-18.05,904
5-May-2014,1532.1,1563.9,1521.2,1552.9,1550.6425706727,153843,15927,238555505,27667,17.98,42.7,20.8,905
2-May-2014,1522,1538,1520.05,1530.45,1529.2753794822,97106,7388,148501815,19983,20.58,17.95,8.45,906
30-April-2014,1528.1,1547.6,1500.6,1519.2,1529.1163701992,161794,11290,247401854,25480,15.75,47,-8.9,907
29-April-2014,1532,1541.95,1508.3,1528.1,1527.3081257667,152441,10136,232824378,11391,7.47,33.65,-3.9,908
28-April-2014,1545,1555,1525.55,1530,1537.8625765129,190164,12982,292446099,27936,14.69,29.45,-15,909
25-April-2014,1518,1548,1502,1534.45,1527.8068286599,335117,22246,511994041,29576,8.83,46,16.45,910
23-April-2014,1504,1533,1494.35,1517.7,1520.1666320171,206833,15040,314420625,36726,17.76,38.65,13.7,911
22-April-2014,1501,1511.85,1488.65,1500.05,1500.2033896453,91514,7778,137289613,9318,10.18,23.2,-0.95,912
21-April-2014,1465.1,1508,1465.1,1502.25,1494.7148382085,118424,8345,177010110,23135,19.54,42.9,37.15,913
17-April-2014,1435,1471,1435,1464.65,1458.453739616,147221,10694,214715018,23687,16.09,36,29.65,914
16-April-2014,1446.1,1464.7,1427.15,1431.65,1447.1603224104,104215,8797,150815813,12453,11.95,37.55,-14.45,915
15-April-2014,1495.1,1495.1,1438,1445.75,1466.0370826727,110375,9346,161813843,14370,13.02,57.1,-49.35,916
11-April-2014,1488.9,1505.8,1480.35,1495.4,1495.5108567818,113938,8223,170395516,17266,15.15,25.45,6.5,917
10-April-2014,1490,1516,1474.1,1501.95,1501.3718070511,207371,15733,311340973,46102,22.23,41.9,11.95,918
9-April-2014,1425,1491.75,1421.9,1484.85,1463.222611465,178980,13154,261887583,44643,12.47,69.85,59.85,919
7-April-2014,1353.4,1439.75,1353.4,1421.7,1420.2699681629,57166,4222,81191153,12837,11.23,86.35,68.3,920
4-April-2014,1433.7,1449.95,1418.65,1429.15,1434.9937575811,169005,7207,242521120,19983,11.82,31.3,-4.55,921
3-April-2014,1465,1466.5,1428.6,1437.25,1445.9895174541,108943,6236,157530436,11595,10.64,37.9,-27.75,922
2-April-2014,1459.5,1475,1438.5,1466.05,1457.2119429783,193821,8514,282438276,26634,13.74,36.5,6.55,923
1-April-2014,1465,1477.5,1454,1468.8,1466.2055509976,236462,10295,346701897,44710,18.91,23.5,3.8,924
