Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
19-May-2014,1436.35,1533.55,1436.35,1524.65,1502.9575133348,660113,43909,992121793,305588,46.29,97.2,88.3,895
16-May-2014,1436.2,1493.15,1384.2,1425.95,1445.3968107867,1054931,66328,1524793903,413867,39.23,108.95,-10.25,896
15-May-2014,1398,1400,1370.7,1377.4,1384.0001592337,238643,16608,330281950,99474,41.68,29.3,-20.6,897
14-May-2014,1415,1423,1381,1394.2,1393.68868886,262962,18719,366487165,72598,27.61,42,-20.8,898
13-May-2014,1400,1440.05,1396.5,1408.8,1423.3795353159,439137,28797,625058619,156755,35.7,43.55,8.8,899
12-May-2014,1350,1394,1348.55,1387.1,1376.8183724411,408231,28951,562059941,182932,44.81,45.45,37.1,900
9-May-2014,1299.75,1348.6,1288.5,1343.15,1333.9635079309,315411,24338,420746764,122948,38.98,60.1,43.4,901
8-May-2014,1308.5,1308.5,1277.1,1300.4,1296.6912769333,243286,10903,315466834,25217,10.37,31.4,-8.1,902
7-May-2014,1295.3,1313.65,1290.5,1295.9,1301.8130648243,124043,11398,161480798,27557,22.22,23.15,0.6,903
6-May-2014,1292.25,1304,1289.05,1299.55,1297.2210380298,102367,8011,132792626,33927,33.14,14.95,7.3,904
5-May-2014,1263.3,1294.1,1251.6,1283.6,1273.8572414914,320086,14270,407743869,190230,59.43,42.5,20.3,905
2-May-2014,1306.4,1309.9,1259.9,1263.15,1275.4893402536,173597,14910,221421123,50025,28.82,50,-43.25,906
30-April-2014,1330.4,1334.75,1282,1295.55,1305.5870035179,227123,16555,296528837,63076,27.77,52.75,-34.85,907
29-April-2014,1333.6,1340,1308.4,1321.5,1327.0947314175,164940,12759,218891005,26651,16.16,31.6,-12.1,908
28-April-2014,1341,1363,1326.9,1329.25,1340.6334870893,187093,15366,250823141,33637,17.98,36.1,-11.75,909
25-April-2014,1376,1376.55,1345.1,1350.8,1363.2172449667,179751,14267,245039663,38927,21.66,31.45,-25.2,910
23-April-2014,1352,1387.85,1349,1377.3,1371.6869920953,450995,22525,618623975,210687,46.72,38.85,25.3,911
22-April-2014,1320,1352,1320,1344,1343.6613833684,329529,22789,442775392,98971,30.03,32,24,912
21-April-2014,1271.3,1325,1271.3,1322.15,1310.6095102003,303716,25316,398053078,131132,43.18,53.7,50.85,913
17-April-2014,1256.25,1277.3,1242.45,1270.8,1265.2634440402,167379,13218,211778530,25255,15.09,34.85,14.55,914
16-April-2014,1294.7,1297,1255,1260.5,1274.8730885212,130658,11118,166572368,34170,26.15,42,-34.2,915
15-April-2014,1294,1308.8,1275,1297.75,1294.3980783376,152264,11152,197090229,42883,28.16,33.8,3.75,916
11-April-2014,1307.8,1308.95,1290.1,1296.8,1298.9786569811,164644,13422,213869042,59188,35.95,18.85,-11,917
10-April-2014,1300,1325.8,1294.75,1314.7,1311.9123575056,267028,17525,350317333,92572,34.67,31.05,14.7,918
9-April-2014,1287,1307.95,1277.4,1299.35,1291.2361579585,169285,10585,218586913,77443,22.87,30.55,12.35,919
7-April-2014,1300,1300,1267.8,1283.25,1279.3784655061,108570,6664,138902120,49770,22.92,32.2,-16.75,920
4-April-2014,1289.6,1289.6,1267.6,1277.1,1276.8604093111,130854,7034,167082292,27845,21.28,22,-12.5,921
3-April-2014,1296,1298.8,1255,1290,1280.9800535043,182789,8047,234149063,46441,25.41,43.8,-6,922
2-April-2014,1289.9,1310,1275,1299.95,1290.6958903388,265618,10375,342832061,111631,42.03,35,10.05,923
1-April-2014,1267.6,1286.75,1253.1,1276.35,1265.62070911,237509,10229,300596309,70750,29.79,33.65,8.75,924
31-March-2014,1290,1301,1265.15,1272.65,1289.5026322014,262138,12171,338027641,104330,39.8,35.85,-17.35,925
28-March-2014,1286,1291.6,1260.4,1288.3,1278.6881857933,169694,8563,216985713,52244,30.79,31.2,2.3,926
27-March-2014,1270,1295,1269.25,1283.35,1282.7800886398,257672,13139,330536511,108304,42.03,25.75,13.35,927
26-March-2014,1251,1278,1251,1275.2,1268.3850906853,407839,17057,517296907,169914,41.66,27,24.2,928
25-March-2014,1226.3,1250,1222.65,1248.4,1240.5544670048,181587,7840,225268564,72831,40.11,27.35,22.1,929
24-March-2014,1225,1238,1216.55,1230.3,1228.9150281995,179436,8404,220511597,81154,45.23,21.45,5.3,930
22-March-2014,1215.3,1223.5,1212.35,1219.55,1217.0933562001,13411,769,16322439,4820,35.94,11.15,4.25,931
21-March-2014,1224.1,1234.9,1211.1,1216.55,1219.1239671979,129260,6809,157583964,32166,24.88,23.8,-7.55,932
20-March-2014,1237.6,1242.7,1216.1,1220.25,1226.1079992131,137251,6250,168284549,33432,24.36,26.6,-17.35,933
19-March-2014,1239,1254,1229,1246.65,1246.5680206901,243595,9624,303657737,105188,43.18,25,7.65,934
18-March-2014,1250.55,1267,1233.2,1240.8,1247.861377489,199174,10690,248541542,62873,31.57,33.8,-9.75,935
14-March-2014,1218.8,1262.75,1202.2,1255.5,1232.1757905254,308276,17892,379850224,109699,35.58,60.55,36.7,936
13-March-2014,1216.3,1237.6,1215,1225.4,1228.7249909505,154704,6914,190088671,52856,34.17,22.6,9.1,937
12-March-2014,1225,1229.8,1207,1218.55,1215.9817878831,168624,9843,205043713,49586,29.41,22.8,-6.45,938
