Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
19-October-2015,384,384,376.6,378.5,379.5361992723,663494,11029,251819991,126003,18.99,7.4,-5.5,545
16-October-2015,389,391.05,381.3,386.2,386.276217587,1120269,19300,432733272,167594,14.96,9.75,-2.8,546
15-October-2015,355,383.7,355,380.7,373.7766421197,1769801,25301,661510275,337903,19.09,28.7,25.7,547
14-October-2015,360,360,351,352.3,355.0242230269,582710,9132,206876165,138895,23.84,9,-7.7,548
13-October-2015,361.65,365.5,355.1,360.95,359.8307279662,837374,10143,301312896,158596,18.94,10.4,-0.7,549
12-October-2015,357,367,356.6,362.4,362.9850922722,1283160,13943,465767951,287966,22.44,10.4,5.4,550
9-October-2015,345,358,341.15,355.9,350.41878278,1632474,19734,572049552,273127,16.73,16.85,10.9,551
8-October-2015,342.9,347.25,341.55,342.85,343.8306580621,806398,10498,277264355,107394,13.32,5.7,-0.05,552
7-October-2015,333.9,344.95,329.15,341.2,340.6769937589,1626789,23036,554209586,457571,28.13,15.8,7.3,553
6-October-2015,320,334.9,320,333.5,328.7732044561,1404644,24883,461809309,256966,18.29,14.9,13.5,554
5-October-2015,301.9,322,301.7,315.2,315.6193515684,1189578,17744,375453837,390427,32.82,20.3,13.3,555
1-October-2015,300.1,301,291.75,297,295.6055732811,691406,9522,204383467,108188,15.65,9.25,-3.1,556
30-September-2015,290,299.6,288.15,298.45,295.3536011817,893665,12525,263947176,203086,22.73,11.45,8.45,557
29-September-2015,280.1,294.75,279.15,288.65,285.8275670749,1559041,19526,445616896,269336,17.28,15.6,8.55,558
28-September-2015,305,305,283.8,285.25,292.2405939178,1391573,20850,406674120,418610,30.08,21.2,-19.75,559
24-September-2015,312,312,302,303.65,307.1862458994,773064,10749,237474628,299465,38.74,10,-8.35,560
23-September-2015,312,312.5,306.5,310.2,310.0462471819,1033490,11848,320429696,365585,35.37,6,-1.8,561
22-September-2015,331.9,333.7,314.1,315.65,323.3095298207,918926,11229,297097533,297017,32.32,19.6,-16.25,562
21-September-2015,326.8,334.8,326,331.6,331.9457909825,529506,6715,175767288,188845,35.66,8.8,4.8,563
18-September-2015,330,333.75,324.5,328.4,325.4342390867,47021412,44515,15302377435,38548209,81.98,9.25,-1.6,564
16-September-2015,338.7,340.25,332.5,337.9,336.917795327,429270,6250,144628702,68993,16.07,7.75,-0.8,565
15-September-2015,347,347,332.55,333.95,337.2411763177,846472,10158,285465213,382274,45.16,14.45,-13.05,566
14-September-2015,348.9,351.2,342.75,346.75,347.5592277073,458738,8409,159438625,125701,27.4,8.45,-2.15,567
11-September-2015,354.8,359,342.6,345.55,350.2668291221,1755558,18394,614913734,718385,40.92,16.4,-9.25,568
10-September-2015,340,356.5,331.45,354.25,347.7266736793,1006749,14101,350073481,171563,17.04,25.05,14.25,569
9-September-2015,335.05,350.35,333.65,344.9,342.1570067524,913897,11930,312696262,224967,24.62,16.7,9.85,570
8-September-2015,327.9,333.5,317,331.7,326.7984640001,761849,9917,248971083,94219,12.37,16.5,3.8,571
7-September-2015,328.8,332.75,320.5,323.6,325.8942317927,817325,9573,266361503,260484,31.87,12.25,-5.2,572
4-September-2015,331,331,316.4,322.85,321.3686865181,720284,10653,231476723,180882,25.11,14.6,-8.15,573
3-September-2015,329.7,339.7,327,333.35,334.7097537666,799404,10165,267568316,208476,26.08,12.7,3.65,574
2-September-2015,329.45,332.75,321.5,325.35,325.7497839394,1260063,15748,410465250,505537,40.12,11.25,-4.1,575
1-September-2015,335.15,339.4,324.75,329.6,333.1729069493,1101980,11274,367149880,349981,31.76,14.65,-5.55,576
31-August-2015,341,348.6,332.65,340.15,339.9154727415,831850,10223,282758686,154843,18.61,15.95,-0.85,577
28-August-2015,340.55,343,335.5,340.4,338.4551763747,1058627,11484,358297788,308748,29.16,7.5,-0.15,578
27-August-2015,338,342.25,328.25,334.7,335.7883261514,1170291,17256,392970056,291810,24.93,14,-3.3,579
26-August-2015,324.9,341.6,318.7,336.8,333.7282529334,1644923,15665,548957279,642336,39.05,22.9,11.9,580
25-August-2015,308.05,332,306.25,329.2,318.2429750168,1097298,13827,349207380,259473,23.65,25.75,21.15,581
24-August-2015,313.9,318.8,304.1,309.7,312.2298532817,2555987,24392,798055446,1226880,48,14.7,-4.2,582
21-August-2015,340,340,328,332.75,330.9197115786,1340816,12187,443702444,554751,41.37,12,-7.25,583
20-August-2015,350,350,341,342.1,343.6593011253,1287527,14701,442470629,651851,50.63,9,-7.9,584
19-August-2015,350,355,344.35,351.1,351.3533486399,1129802,9743,396959716,465068,41.16,10.65,1.1,585
18-August-2015,357,358.35,348.7,349.7,352.2303651195,598845,9066,210931393,138028,23.05,9.65,-7.3,586
17-August-2015,355,362,345.75,355.95,354.0463786183,656186,9396,232320277,92446,14.09,16.25,0.95,587
14-August-2015,352.95,359.5,345.25,355.35,352.4260855451,1059698,11523,373465218,386934,36.51,14.25,2.4,588
13-August-2015,358,360.95,348.25,349.4,352.6322876977,2056325,16538,725126589,1126761,54.79,12.7,-8.6,589
12-August-2015,367,367,353.7,355.3,357.8793797981,1575358,14695,563788144,770217,48.89,13.3,-11.7,590
11-August-2015,387.2,387.8,367.5,369.8,375.0372294482,2528536,17678,948295136,1552546,61.4,20.3,-17.4,591
10-August-2015,384,395.6,382.2,385.85,389.2093333934,1575697,18759,613275979,437791,27.78,13.4,1.85,592
7-August-2015,384,395.5,382,392.55,389.6060405691,1026890,15105,400082547,204771,19.94,13.5,8.55,593
6-August-2015,377,384.5,373.5,382.9,378.7653954597,1254818,16421,475281636,474574,37.82,11,5.9,594
5-August-2015,379,388.35,375,376.75,381.9951609338,1520128,13653,580681540,656105,43.16,13.35,-2.25,595
4-August-2015,386,390,378.05,380.95,382.0913418538,1054325,12309,402848454,488002,46.29,11.95,-5.05,596
3-August-2015,385,394.55,381.6,388.15,389.9700654763,1032587,8389,402678020,574891,55.67,12.95,3.15,597
31-July-2015,380.8,390.4,380.4,384.35,384.9654847381,565460,7718,217682583,155156,27.44,10,3.55,598
30-July-2015,380.05,382.65,377,377.8,378.6146386874,1075274,8579,407114477,595983,55.43,5.65,-2.25,599
29-July-2015,374,379.3,372.9,376.25,375.33763389,800284,9805,300376703,444488,55.54,6.4,2.25,600
28-July-2015,374.8,375.1,366.25,370.45,369.8774405298,967669,16197,357918933,392106,40.52,8.85,-4.35,601
27-July-2015,390,390,373.05,377.6,378.1434691404,1241835,15066,469591795,626207,50.43,16.95,-12.4,602
24-July-2015,397.95,399.6,390,391.15,394.4194493428,815462,9304,321634073,330582,40.54,9.6,-6.8,603
23-July-2015,389.55,403.1,385,401.35,395.5204106934,1016330,14602,401979259,219062,21.55,18.1,11.8,604
22-July-2015,390,392.5,385,389.25,389.8054254106,398274,6773,155249366,132671,33.31,7.5,-0.75,605
21-July-2015,392,395.5,386.3,389.75,390.2097181558,949851,9837,370641091,490397,51.63,9.2,-2.25,606
20-July-2015,399.9,401.85,390.1,391.2,393.9524557889,576495,8474,227111621,151087,26.21,11.75,-8.7,607
17-July-2015,397,403.35,390.75,398.75,397.0571312245,594386,10956,236005200,127793,21.5,12.6,1.75,608
16-July-2015,396,398.55,392.6,395.1,395.1772036581,428095,7315,169173385,131534,30.73,5.95,-0.9,609
15-July-2015,387.5,395,382.9,394.3,390.7345565056,731813,13245,285944628,176402,24.1,12.1,6.8,610
14-July-2015,403,403,381.15,385.75,390.8354464152,1094452,20521,427750636,384254,35.11,21.85,-17.25,611
13-July-2015,406.6,406.6,397.3,402.25,402.4328282514,498863,8346,200758848,126288,25.32,9.3,-4.35,612
10-July-2015,399,406.1,398.3,401.95,401.2865870736,1056876,9726,424110163,540580,51.15,7.8,2.95,613
9-July-2015,401.5,403.6,394.25,398.15,398.0315724037,836490,12732,332949430,258051,30.85,9.35,-3.35,614
8-July-2015,425.5,425.5,400,405.15,408.5921935944,1574963,23823,643517587,713179,45.28,25.5,-20.35,615
7-July-2015,435,438,428.05,431.8,431.5503556545,620546,8920,267796847,227298,36.63,9.95,-3.2,616
6-July-2015,428,433.25,420.8,432,426.5769668488,407708,6876,173918842,143310,35.15,12.45,4,617
3-July-2015,437,437,430.5,433.35,433.3459319047,272941,3762,118277872,89963,32.96,6.5,-3.65,618
2-July-2015,446.2,446.2,435.25,436.6,439.5105543203,411964,8251,181062526,146160,35.48,10.95,-9.6,619
1-July-2015,436.95,447.4,431.75,444.8,440.5485592739,655364,8666,288719666,250044,38.15,15.65,7.85,620
30-June-2015,428.3,439.9,423,434.55,428.1860044088,614222,6714,263001264,254826,41.49,16.9,6.25,621
29-June-2015,430,432.5,419,428.85,426.4248977474,589716,7647,251469585,241191,40.9,13.5,-1.15,622
26-June-2015,435.4,439.4,431.7,437.9,436.1250396693,485262,6332,211634909,148501,30.6,7.7,2.5,623
25-June-2015,432,438.2,429.45,434.4,433.8425890132,519951,7693,225576888,231094,44.45,8.75,2.4,624
24-June-2015,436.5,438.6,428.4,432.25,434.8233157343,783754,6567,340794513,421481,53.78,10.2,-4.25,625
23-June-2015,443.5,447.3,435.2,436.15,440.1738678634,501375,6970,220692173,107959,21.53,12.1,-7.35,626
22-June-2015,436.1,444,435.25,440.15,440.6356782649,336115,5540,148104261,51065,15.19,8.75,4.05,627
19-June-2015,445.45,445.45,431.7,432.9,436.9796388435,431115,7137,188388477,115736,26.85,13.75,-12.55,628
18-June-2015,435,447.2,431.9,445.45,442.6553996928,457739,9724,202620640,152838,33.39,15.3,10.45,629
17-June-2015,436.5,437.5,426.75,433.7,432.5330046813,688266,7749,297697761,342959,49.83,10.75,-2.8,630
16-June-2015,427,435.5,421.55,431.75,426.3581698164,409183,6509,174458515,125777,30.74,13.95,4.75,631
15-June-2015,426.5,427.8,418.45,426.2,423.6410854525,492145,6139,208492842,166485,33.83,9.35,-0.3,632
12-June-2015,426.55,431,418,421.6,422.0394733577,846343,10329,357190154,381877,45.12,13,-4.95,633
11-June-2015,447.6,449,428.65,430.35,434.0731209017,1286814,11524,558571369,643247,49.99,20.35,-17.25,634
10-June-2015,440.5,449.3,436.05,446.45,445.8536162442,531145,5751,236812919,226693,42.68,13.25,5.95,635
9-June-2015,431.8,443.8,431.8,440.3,436.9987138168,1137474,9745,497074675,688396,60.52,12,8.5,636
8-June-2015,437,437,429.2,435.7,432.8331478264,691798,7878,299433106,329333,47.61,7.8,-1.3,637
5-June-2015,446.9,448.65,439.25,442.6,443.8438083159,1375054,14458,610309204,705869,51.33,9.4,-4.3,638
4-June-2015,457.25,457.35,445.5,452.15,449.8453537254,916304,10932,412195097,402746,43.95,11.85,-5.1,639
3-June-2015,469,469,435.6,457.25,450.2055916998,928841,18111,418169412,258264,27.8,33.4,-11.75,640
2-June-2015,474,478.2,465.2,467.2,469.1449677335,1010956,13516,474284920,457282,45.23,13,-6.8,641
1-June-2015,482.8,483,470.95,472.15,474.6756444633,476249,9975,226063801,205958,43.25,12.05,-10.65,642
29-May-2015,483.8,489.9,478.95,481.6,484.3679661576,542751,7768,262891198,174404,32.13,10.95,-2.2,643
28-May-2015,474.7,486.8,472.75,483.55,481.4766351524,568525,10234,273731504,136092,23.94,14.05,8.85,644
27-May-2015,472.35,474.75,463.9,471.65,470.5688602681,1366216,21627,642898706,598996,43.84,10.85,-0.7,645
26-May-2015,504.1,505.5,493.7,497.1,497.7260024169,920176,14088,457995522,402733,43.77,11.8,-7,646
25-May-2015,513.9,514.5,503.1,505.2,507.6765176545,406186,4823,206211094,195239,48.07,11.4,-8.7,647
22-May-2015,512,516.9,510.25,514.55,514.8356766955,478088,4416,246136759,276354,57.8,6.65,2.55,648
21-May-2015,506.05,512.6,506,511.2,510.5675303015,363348,4676,185513691,143535,39.5,6.6,5.15,649
20-May-2015,512.8,514,503.65,505.5,507.2671913787,420167,6243,213136934,199547,47.49,10.35,-7.3,650
19-May-2015,519,519,508.95,510.1,514.7337718881,799292,9477,411422586,503238,62.96,10.05,-8.9,651
18-May-2015,517.9,524.3,510.3,520.25,516.837684698,269494,4846,139284655,68895,25.56,14,2.35,652
15-May-2015,518.1,524.35,517.4,519.45,519.7289968397,1492573,5385,775733468,1311265,87.85,6.95,1.35,653
14-May-2015,524.9,524.9,510.7,516.4,514.0319908849,374763,5597,192640171,150339,40.12,14.2,-8.5,654
13-May-2015,515,525.4,506.6,519.55,514.3362076335,444514,7756,228629645,181875,40.92,18.8,4.55,655
