Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
16-May-2014,519.8,530,498.05,502.85,509.2295953287,349197,21010,177821447,105622,30.25,31.95,-16.95,896
15-May-2014,527.4,528,513.05,516.35,518.5277611414,170310,8486,88310463,56239,33.02,14.95,-11.05,897
14-May-2014,530,531.95,522.55,524.2,526.111924609,108448,4817,57055786,28946,26.69,9.4,-5.8,898
13-May-2014,515,530.45,512.7,528.8,524.0675198238,214263,10067,112288279,71691,33.46,17.75,13.8,899
12-May-2014,514.7,516,502.1,511.6,508.7757347652,215477,8935,109629469,73212,33.98,13.9,-3.1,900
9-May-2014,512,517.4,510,512.3,514.2902435944,102917,4722,52929209,30340,29.48,7.4,0.3,901
8-May-2014,507,515.45,502.35,510.75,510.3546558019,165428,7531,84426950,42973,25.98,13.1,3.75,902
7-May-2014,511.8,514.8,500.55,505.5,505.4963403948,271614,13157,137299883,56627,20.85,14.25,-6.3,903
6-May-2014,519.05,525,513.8,514.6,516.927514539,145643,6477,75286874,58401,40.1,11.2,-4.45,904
5-May-2014,526,529.45,519,520.8,524.0529425343,203617,6949,106706088,76764,37.7,10.45,-5.2,905
2-May-2014,519.95,530.7,518.8,527.6,525.9420825599,191255,8098,100589053,58366,30.52,11.9,7.65,906
30-April-2014,529,529.8,518.25,522,523.4653262481,240124,7695,125696588,77112,32.11,11.55,-7,907
29-April-2014,532,536.3,523.7,524.9,531.2321075877,246571,11063,130986432,81051,32.87,12.6,-7.1,908
28-April-2014,521,531,518.15,529.05,525.725348184,306519,16991,161144808,94444,30.81,12.85,8.05,909
25-April-2014,530,530,517,519.75,520.8838010369,340244,14677,177227588,85210,25.04,13,-10.25,910
23-April-2014,534.85,538,523.5,525,529.3839703049,430239,20515,227761630,106310,24.71,14.5,-9.85,911
22-April-2014,548,549.55,526.85,531.3,537.2825830379,452444,25468,243090281,145418,32.14,22.7,-16.7,912
21-April-2014,568.4,568.4,544,546.6,553.6098223613,740942,32909,410192769,307853,41.55,24.4,-21.8,913
17-April-2014,575.1,589,574.05,585.55,584.1731044925,198799,7958,116133029,49096,24.7,14.95,10.45,914
16-April-2014,595,595,569,571.9,581.2764214493,265873,11106,154545706,77600,29.19,26,-23.1,915
15-April-2014,565,591.05,565,589,583.0091097167,234914,10622,136957002,71632,30.49,26.05,24,916
11-April-2014,558.05,570.45,551.7,567.95,560.7191146249,146469,6617,82127968,27123,18.52,18.75,9.9,917
10-April-2014,554,563.9,550.8,560.45,559.4826594357,145670,6632,81499839,40732,27.96,13.1,6.45,918
9-April-2014,558,562,549.7,553.65,553.6825370099,77209,3856,42749275,22548,14.6,12.3,-4.35,919
7-April-2014,550.75,560.4,550,556.4,556.5620422313,79325,3035,44149284,31594,19.91,10.4,5.65,920
4-April-2014,562.1,568.5,551.1,553.25,560.2732721168,83093,3366,46554787,18924,22.77,17.4,-8.85,921
3-April-2014,566,568,557.5,560.5,561.8456815597,99353,4128,55821054,38762,39.01,10.5,-5.5,922
2-April-2014,563.7,572.4,559.65,565.2,568.0628135697,225827,5698,128283921,107910,47.78,12.75,1.5,923
1-April-2014,548,562.1,547,560.5,557.4649517234,471036,6445,262586061,160622,34.1,15.1,12.5,924
31-March-2014,554,554,538.55,542.6,543.2562418483,171744,5500,93301000,50829,29.6,15.45,-11.4,925
28-March-2014,552.1,558.8,550.2,551.5,553.798977238,71962,2126,39852482,20514,28.51,8.6,-0.6,926
27-March-2014,546,555,540,551.55,547.0433504826,147334,4176,80598085,33626,22.82,15,5.55,927
26-March-2014,551.6,557.15,544.1,545.35,551.5474003916,125115,3472,69006853,52262,41.77,13.05,-6.25,928
25-March-2014,559.8,559.85,546.3,548.5,553.2347541985,85089,3196,47074192,37438,44,13.55,-11.3,929
24-March-2014,571,574.75,561.15,563.05,568.4361495085,80156,3681,45563568,22721,28.35,13.6,-7.95,930
22-March-2014,568,571.5,564.3,568.65,568.131775191,10996,433,6247177,3190,29.01,7.2,0.65,931
21-March-2014,558,577.1,554.45,567.95,566.985500521,237043,7509,134399944,61046,25.75,22.65,9.95,932
20-March-2014,546,559.9,545.8,550.95,554.4301204417,269757,6652,149561406,111956,41.5,14.1,4.95,933
19-March-2014,540.9,549.8,528.95,545,539.4970991008,157365,5252,84897961,35816,22.76,20.85,4.1,934
18-March-2014,549.7,550.75,537.45,540.3,543.5370808325,122624,4457,66650691,40528,33.05,13.3,-9.4,935
14-March-2014,562,564.45,545,547.05,551.8222687891,180863,5932,99804231,72248,39.95,19.45,-14.95,936
