Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Ind
20-February-2014,811,813.75,803.4,805.35,808.3878120057,186495,7732,150760285,75100,40.27,10.35,-5.65,287
19-February-2014,813.6,819.95,810.5,812.55,814.9181440688,135824,6664,110685442,38966,28.69,9.45,-1.05,286
18-February-2014,809.7,817.9,809,812.75,815.3723834156,442705,6463,360969431,347967,78.6,8.9,3.05,285
17-February-2014,820.9,822.15,807.6,811.45,813.5286666246,174227,7385,141738659,58718,33.7,14.55,-9.45,284
14-February-2014,810.35,822.9,809,821.5,816.740928132,171161,8971,139794194,54234,31.69,13.9,11.15,283
13-February-2014,818,818.75,805.75,807.45,811.1326120634,158794,7318,128802992,70024,44.1,13,-10.55,282
12-February-2014,807,821.85,807,817.45,816.617630603,250224,11565,204337330,73537,29.39,14.85,10.45,281
11-February-2014,823.65,824.25,803,805.5,810.7189634322,291076,13390,235980833,97496,33.5,21.25,-18.15,280
10-February-2014,816,825.6,811.9,821.6,821.7466837803,183869,9781,151093741,57081,31.04,13.7,5.6,279
7-February-2014,824.6,824.6,811.4,814.3,816.4054215294,229640,10175,187479341,68289,29.74,13.2,-10.3,278
6-February-2014,820.15,824,809,815.85,815.462775126,241344,10834,196807048,59111,24.49,15,-4.3,277
5-February-2014,823,823,808,816.15,814.5466678094,291700,13568,237603263,65144,22.33,15,-6.85,276
4-February-2014,815,826.25,813.25,822,818.8791623056,211151,9749,172907154,64450,30.52,13,7,275
3-February-2014,829,829.4,820,821.3,825.2914814424,132722,6308,109534336,54106,40.77,9.4,-7.7,274
31-January-2014,829,833.8,827.1,830.85,830.5444768522,183084,8647,152059405,47758,26.09,6.7,1.85,273
30-January-2014,831.9,834.2,823,825.7,827.84428803,234420,11953,194063258,96151,41.02,11.2,-6.2,272
29-January-2014,851,852,835.1,836.75,842.7025212341,178722,10253,150609480,71529,40.02,16.9,-14.25,271
28-January-2014,846,855,844.2,845.8,849.6140614805,165516,8121,140624721,39033,23.58,10.8,-0.2,270
27-January-2014,856.7,860.55,840.1,842.8,849.8690766976,235405,10589,200063430,88458,37.58,20.45,-13.9,269
24-January-2014,863.2,874.5,862.35,867,868.7078558283,224954,12885,195419307,68274,30.35,12.15,3.8,268
23-January-2014,861,871,861,866.05,866.4361904094,171189,8817,148324345,46551,27.19,10,5.05,267
22-January-2014,862.6,875.7,859,872.2,869.3862144723,216662,10424,188362956,62384,28.79,16.7,9.6,266
21-January-2014,873.25,874.8,862.85,864.05,866.6150927467,210843,9501,182719726,43963,20.85,11.95,-9.2,265
20-January-2014,884.55,888.85,866.2,869.5,872.1440623907,388776,20013,339068680,138694,35.67,22.65,-15.05,264
17-January-2014,889,896.8,880.75,884.55,890.3110277554,300986,14436,267971155,110136,36.59,16.05,-4.45,263
16-January-2014,889.7,891.95,882,885.15,887.9589978238,179210,8782,159131132,31530,17.59,9.95,-4.55,262
15-January-2014,880,894.9,880,885.4,889.5326870801,275537,13175,245099168,69381,25.18,14.9,5.4,261
14-January-2014,877.35,884.8,872.8,881.1,880.2396552482,227410,10199,200175300,47613,20.94,12,3.75,260
13-January-2014,865.1,881.55,865.1,879,876.2471379476,318041,14249,278682516,107614,33.84,16.45,13.9,259
10-January-2014,848.45,874.7,848.45,856.9,862.5048469067,429346,17873,370313006,60349,14.06,26.25,8.45,258
9-January-2014,850,853.1,844.95,850.55,849.7075378639,229110,9884,194676494,78320,34.18,8.15,0.55,257
8-January-2014,845.4,856.5,844.6,848.25,849.9840804744,216715,9333,184204300,48240,22.26,11.9,2.85,256
7-January-2014,855.5,859.75,840.2,842.15,847.5363777734,300307,14004,254521107,114825,38.24,19.55,-13.35,255
6-January-2014,864,864,851.35,854.9,855.010742315,237379,10323,202961595,97672,41.15,12.65,-9.1,254
3-January-2014,870.2,873.45,856.4,865,864.6898450332,280060,16118,242165038,86118,30.75,17.05,-5.2,253
2-January-2014,890,895.8,871,875.35,883.4266130468,190974,7696,168711514,55543,29.08,24.8,-14.65,252
1-January-2014,896.75,898,887.2,888.7,891.4227210842,129272,5540,115235998,41484,32.09,10.8,-8.05,251
