Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,319.80,321.00,312.00,312.90,315.192597654527819416,181456,1958,57193588.00,34057,18.77,9.00,-6.90
28-December-2018,316.55,321.00,314.35,316.20,318.368018375490404283,357868,2848,113933726.00,97932,27.37,6.65,-0.35
27-December-2018,322.90,326.15,314.00,316.35,317.376249748311398290,546310,5412,173385819.00,147226,26.95,12.15,-6.55
26-December-2018,310.95,323.95,303.00,321.20,311.337941070209947412,498220,4232,155114789.00,81328,16.32,20.95,10.25
24-December-2018,307.90,313.50,304.40,309.00,308.215515807520567049,312636,3069,96359266.00,31226,9.99,9.10,1.10
21-December-2018,319.90,324.60,305.55,307.50,314.474968601815637680,613889,5997,193052724.00,92684,15.10,19.05,-12.40
20-December-2018,316.00,321.20,314.25,316.15,317.116745188852511379,262983,2271,83396313.00,34782,13.23,6.95,0.15
19-December-2018,321.80,323.50,318.00,322.25,320.660095726939986572,230865,2622,74029193.00,53961,23.37,5.50,0.45
18-December-2018,314.70,320.00,312.00,317.15,315.908156085819427407,432070,3454,136494437.00,49497,11.46,8.00,2.45
17-December-2018,320.00,323.05,313.00,314.65,317.963404921619542219,665472,5143,211595743.00,74933,11.26,10.05,-5.35
14-December-2018,304.00,332.90,304.00,318.80,318.320442072100093310,1196004,12139,380712522.00,73081,6.11,28.90,14.80
13-December-2018,309.00,312.70,301.35,302.70,306.377747590899249315,337159,3058,103298015.00,41384,12.27,11.35,-6.30
12-December-2018,295.00,309.90,292.20,305.20,301.236937862393279459,438060,3471,131959853.00,46153,10.54,17.70,10.20
11-December-2018,289.50,293.85,282.25,290.10,288.701669778994506590,386099,3783,111467426.00,22493,5.83,11.60,0.60
10-December-2018,299.00,301.25,290.00,294.30,296.498471203799221196,215202,2226,63807064.00,17957,8.34,11.25,-4.70
7-December-2018,313.80,313.80,299.10,303.90,304.267010245210319785,225276,2849,68544055.00,20493,9.10,14.70,-9.90
6-December-2018,310.00,312.45,302.00,304.10,306.112316629970554686,263879,2386,80776612.00,21651,8.20,10.45,-5.90
5-December-2018,340.00,340.00,308.85,312.30,313.739714827841717389,522281,3807,163860292.00,60223,11.53,31.15,-27.70
4-December-2018,319.00,323.30,310.70,318.40,315.548147725918364174,385958,3541,121788332.00,68402,17.72,12.60,-0.60
3-December-2018,315.00,322.90,314.95,320.30,318.652836824941521965,234276,1640,74652712.00,13428,5.73,7.95,5.30
30-November-2018,319.00,323.90,310.60,313.55,316.819565395837530875,268014,2585,84912079.00,22522,8.40,13.30,-5.45
29-November-2018,326.00,326.00,312.35,316.85,315.528578566710140754,236156,2570,74513967.00,5297,2.24,13.65,-9.15
28-November-2018,333.00,333.00,311.40,314.50,321.490750315345910206,360715,4015,115966536.00,38336,10.63,21.60,-18.50
27-November-2018,334.80,335.80,324.75,328.50,330.360961241797152882,250218,2567,82662259.00,9271,3.71,11.05,-6.30
26-November-2018,328.20,338.25,328.20,334.00,334.708403438708325661,630004,2934,210867633.00,12464,1.98,10.05,5.80
22-November-2018,331.75,339.75,321.50,327.95,327.260959859756201452,1056446,5545,345733532.00,532946,50.45,18.25,-3.80
21-November-2018,331.00,339.10,330.10,331.75,334.369093397367006985,238208,2243,79649393.00,17284,7.26,9.00,0.75
20-November-2018,332.80,339.25,328.60,331.75,334.828956164920409880,347028,3374,116195023.00,28340,8.17,10.65,-1.05
19-November-2018,331.00,338.75,319.25,336.70,330.514591815093854193,575254,6207,190129841.00,25602,4.45,19.50,5.70
16-November-2018,303.80,336.90,301.35,333.60,322.473111276272214679,1903865,12057,613945270.00,889888,46.74,35.55,29.80
15-November-2018,299.00,306.45,297.75,303.80,303.785369677579712823,156907,1986,47666051.00,10091,6.43,8.70,4.80
14-November-2018,300.95,311.45,298.00,301.25,305.010317634861290018,318290,3485,97081734.00,41369,13.00,13.45,0.30
13-November-2018,299.90,300.00,290.35,297.45,294.778787584097318610,113113,1607,33343313.00,8574,7.58,9.65,-2.45
12-November-2018,301.65,306.35,293.40,295.35,298.655294941945816095,179832,2180,53707779.00,25339,14.09,12.95,-6.30
9-November-2018,290.00,302.35,290.00,298.45,297.908959451285206559,385191,4594,114751850.00,26472,6.87,12.35,8.45
7-November-2018,308.00,308.90,304.00,305.95,306.299933606285271660,18074,385,5536065.00,2970,16.43,4.90,-2.05
6-November-2018,303.90,307.70,303.00,305.05,305.211543174577240421,97928,1072,29888756.00,27678,28.26,4.70,1.15
5-November-2018,301.90,305.45,298.00,302.50,301.819366823445713608,126505,1658,38181659.00,12740,10.07,7.45,0.60
2-November-2018,297.00,307.80,293.50,302.45,302.007197655984599705,282592,2974,85344818.00,19988,7.07,14.30,5.45
1-November-2018,294.50,297.55,287.55,292.80,292.749165461597718703,221979,2091,64984167.00,59192,26.67,10.00,-1.70
31-October-2018,292.15,296.80,279.10,292.15,286.734042445832618502,297273,3226,85238289.00,40200,13.52,17.70,0.00
30-October-2018,295.90,303.60,289.60,291.85,293.416035975203743822,213258,2735,62573317.00,32136,15.07,14.00,-4.05
29-October-2018,303.00,303.10,290.00,293.65,295.917183995416472702,307187,3484,90901912.00,22807,7.42,13.10,-9.35
26-October-2018,297.00,305.95,287.20,298.30,297.356023142167050497,445075,5555,132345732.00,41966,9.43,18.75,1.30
25-October-2018,307.40,310.70,293.05,295.85,302.015267781438621079,516578,6807,156014443.00,52625,10.19,17.65,-11.55
24-October-2018,287.50,328.75,286.90,316.75,304.280521011057234959,519298,6300,158012266.00,139982,26.96,41.85,29.25
23-October-2018,283.00,290.60,283.00,285.90,286.285214399108990715,120313,1943,34443833.00,21631,17.98,7.60,2.90
22-October-2018,288.70,292.00,277.00,286.00,283.345176235500160091,259227,3364,73450720.00,23172,8.94,15.00,-2.70
19-October-2018,287.80,293.00,284.95,286.85,288.706689382595859281,189001,1820,54565853.00,54258,28.71,8.05,-0.95
17-October-2018,295.05,297.75,284.80,288.10,290.724542413567007101,179966,2496,52320533.00,32443,18.03,12.95,-6.95
16-October-2018,291.00,295.80,289.80,293.90,293.201320612725463064,123579,1767,36233526.00,22427,18.15,6.00,2.90
15-October-2018,290.55,293.40,284.45,291.40,288.575061581457013506,132751,1736,38308628.00,18184,13.70,8.95,0.85
12-October-2018,289.70,292.45,284.70,290.55,286.133745252959779081,12594690,5902,3603765820.00,11831906,93.94,7.75,0.85
11-October-2018,290.00,294.55,282.35,286.25,286.033127628163597122,7754464,2765,2218033591.00,7520958,96.99,12.20,-3.75
10-October-2018,290.95,303.95,284.10,295.65,290.474340105053288379,2264565,4048,657798024.00,1875320,82.81,19.85,4.70
9-October-2018,295.40,296.30,287.25,288.60,290.021440100390979471,682133,2015,197833195.00,550470,80.70,9.05,-6.80
8-October-2018,300.00,302.00,291.10,295.35,294.587211837348973937,142194,3309,41888534.00,17489,12.30,10.90,-4.65
5-October-2018,309.25,315.85,287.50,296.75,304.968807132295634819,274582,5942,83738945.00,66053,24.06,28.35,-12.50
4-October-2018,315.00,317.40,302.35,310.00,310.560069956061752485,301332,3371,93581687.00,35382,11.74,15.05,-5.00
3-October-2018,325.15,327.00,316.45,318.65,320.647893555952628447,6671599,4410,2139234166.00,6409852,96.08,10.55,-6.50
1-October-2018,340.00,340.20,321.95,325.85,327.760713714784618979,325284,2992,106615316.00,134892,41.47,18.25,-14.15
28-September-2018,359.85,359.90,335.45,338.25,343.867630507527174118,264774,5533,91047208.00,32416,12.24,24.45,-21.60
27-September-2018,361.00,363.00,353.80,356.10,358.983383713643233678,108508,2391,38952569.00,11483,10.58,9.20,-4.90
26-September-2018,364.40,364.95,357.30,360.90,360.831414952860376925,104689,2881,37775080.00,14377,13.73,7.65,-3.50
25-September-2018,360.00,363.00,344.05,360.10,350.681867616105728475,241827,4678,84804344.00,29991,12.40,18.95,0.10
24-September-2018,371.00,373.25,350.50,357.50,357.585653583808565358,482922,6464,172685979.00,193025,39.97,22.75,-13.50
21-September-2018,367.80,377.05,356.90,372.40,367.844155142610198789,240656,4431,88523903.00,29206,12.14,20.15,4.60
19-September-2018,376.70,380.20,362.00,369.70,373.163656050237473507,585539,2152,218501874.00,507716,86.71,18.20,-7.00
18-September-2018,380.00,388.70,372.70,373.55,379.074681438017252703,91348,2075,34627714.00,10299,11.27,16.00,-6.45
17-September-2018,381.00,390.75,377.55,382.40,383.214798512381131720,254904,3794,97682985.00,24117,9.46,13.20,1.40
14-September-2018,378.00,388.95,373.40,383.65,375.481288306806105126,642673,2618,241311686.00,520467,80.98,15.55,5.65
12-September-2018,382.00,384.70,372.30,375.00,375.195950026502138640,1164057,1352,436749472.00,1006892,86.50,12.40,-7.00
11-September-2018,389.90,392.55,378.25,379.85,384.691967114195202896,132580,1689,51002461.00,15245,11.50,14.30,-10.05
10-September-2018,390.60,397.50,382.40,388.30,388.718710618596241301,292016,2413,113512083.00,38101,13.05,15.10,-2.30
7-September-2018,372.50,395.00,369.00,390.80,380.318570322323057182,621147,3242,236233739.00,336078,54.11,26.00,18.30
6-September-2018,370.10,374.65,368.55,372.25,371.686962428802842660,95685,1010,35564867.00,15295,15.98,6.10,2.15
5-September-2018,378.00,378.00,366.95,372.60,372.768580060422960725,155570,2050,57991608.00,15225,9.79,11.05,-5.40
4-September-2018,384.25,384.25,375.10,377.75,379.498939888831585582,122157,1254,46358452.00,21509,17.61,9.15,-6.50
