Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,296.50,298.10,295.05,295.65,295.960384619276157584,1779006,7296,526515300.00,973523,54.72,3.05,-0.85
28-December-2018,294.70,297.05,293.60,294.45,295.267036187627655356,1195602,7179,353021859.00,562106,47.01,3.45,-0.25
27-December-2018,295.20,297.50,291.05,291.85,293.871757877353491822,905888,6782,266214899.00,245916,27.15,6.45,-3.35
26-December-2018,293.00,294.80,287.20,293.95,291.280802185836835624,1965380,8730,572477463.00,858424,43.68,7.60,0.95
24-December-2018,292.50,294.95,289.85,292.80,291.983346254255873059,1649779,8276,481707993.00,647359,39.24,5.10,0.30
21-December-2018,294.00,296.45,290.05,291.65,292.520403829500673667,1994307,10628,583375489.00,945555,47.41,6.40,-2.35
20-December-2018,299.40,301.50,293.00,293.85,297.479211329045744941,2250216,9100,669392481.00,818687,36.38,8.50,-5.55
19-December-2018,294.50,301.95,294.05,300.40,299.851301518083971571,3368259,17317,1009976845.00,1633139,48.49,7.90,5.90
18-December-2018,288.30,294.00,287.00,292.55,290.821862108733902089,1555559,9709,452390565.00,749806,48.20,7.00,4.25
17-December-2018,289.60,291.30,287.10,288.65,288.603443266553895146,1490329,8620,430114081.00,781628,52.45,4.20,-0.95
14-December-2018,290.00,290.85,286.95,289.15,288.981460801652372035,1000259,5947,289056307.00,157355,15.73,3.90,-0.85
13-December-2018,289.60,294.05,286.00,288.60,289.926422174419856048,1542462,10053,447200489.00,370059,23.99,8.05,-1.00
12-December-2018,283.50,285.80,282.55,285.25,284.306905176987796558,844352,6617,240055104.00,189395,22.43,3.25,1.75
11-December-2018,269.00,283.00,267.30,281.20,277.704101136510406978,1231049,9174,341867356.00,112645,9.15,15.70,12.20
10-December-2018,261.10,276.40,261.10,273.40,273.503974250265714506,763037,6441,208693652.00,165681,21.71,15.30,12.30
7-December-2018,276.55,277.50,272.25,275.40,274.567717248873864187,697518,4098,191515925.00,227832,32.66,5.25,-1.15
6-December-2018,277.10,279.00,275.00,275.75,276.495630065943409229,602183,4223,166500968.00,146809,24.38,4.00,-1.35
5-December-2018,282.00,283.05,277.70,280.20,281.084613110451865088,686643,5467,193004782.00,102742,14.96,5.35,-1.80
4-December-2018,287.55,287.90,281.90,282.30,283.980091995870570484,982218,5245,278930358.00,531356,54.10,6.00,-5.25
3-December-2018,287.40,287.90,283.40,287.00,285.671754226269704241,712981,4565,203678533.00,100263,14.06,4.50,-0.40
30-November-2018,289.65,290.80,283.30,284.35,286.420735915982494712,812783,6079,232797905.00,124761,15.35,7.50,-5.30
29-November-2018,288.75,289.65,284.25,286.25,287.297420516203597162,782172,5352,224715998.00,195674,25.02,5.40,-2.50
28-November-2018,289.50,292.45,283.00,284.15,287.731248122426620014,1414725,9272,407060590.00,266429,18.83,9.45,-5.35
27-November-2018,285.00,290.20,283.90,289.05,288.168932150951022234,1246974,7265,359339166.00,166511,13.35,6.30,4.05
26-November-2018,283.50,286.80,279.75,285.70,283.673710131971855517,953082,6521,270364307.00,177288,18.60,7.05,2.20
22-November-2018,286.50,287.00,281.50,282.60,284.258650873090810359,493534,4121,140291309.00,78989,16.00,5.50,-3.90
21-November-2018,284.00,289.50,283.30,286.55,286.578915976098017844,1825790,6950,523232919.00,123567,6.77,6.20,2.55
20-November-2018,286.50,288.65,282.00,283.05,285.325317970463261916,913371,5839,260607871.00,131641,14.41,6.65,-3.45
19-November-2018,292.00,293.40,286.30,288.20,288.806218316127118170,697713,6352,201503853.00,139345,19.97,7.10,-3.80
16-November-2018,286.05,291.05,282.85,290.30,288.159085552522808560,1548651,10087,446257856.00,385563,24.90,8.20,4.25
15-November-2018,283.70,287.00,281.30,285.30,284.537192797348277475,1004630,7143,285854600.00,174963,17.42,5.70,1.60
14-November-2018,280.05,287.70,279.10,283.70,281.269037480114505589,7343921,11421,2065617591.00,5756552,78.39,8.60,3.65
13-November-2018,276.50,279.90,273.50,278.15,276.312323489661814735,965595,6387,266805798.00,294691,30.52,6.40,1.65
12-November-2018,284.00,284.00,276.85,277.75,279.479250491130433586,1745463,6416,487820691.00,171702,9.84,7.15,-6.25
9-November-2018,287.10,287.45,282.55,283.00,285.172418650272182112,4075029,8080,1162085876.00,3208420,78.73,4.90,-4.10
7-November-2018,289.90,290.00,285.95,286.65,286.861002827792245139,250372,2660,71821963.00,109217,43.62,4.05,-3.25
6-November-2018,297.80,298.15,284.30,286.50,289.730419103972406159,2486352,16580,720371807.00,348155,14.00,13.85,-11.30
5-November-2018,286.00,299.90,283.75,295.30,292.134069209095599031,2519900,18023,736148641.00,382091,15.16,16.15,9.30
2-November-2018,287.10,292.65,283.25,285.45,288.332114621436058760,1738174,11493,501171385.00,406926,23.41,9.40,-1.65
1-November-2018,282.50,288.35,278.85,285.70,284.829802865535965342,1765394,11479,502836825.00,248375,14.07,9.50,3.20
31-October-2018,275.00,281.80,268.70,280.50,275.908274618453529956,1620969,13691,447238760.00,292187,18.03,13.10,5.50
30-October-2018,267.20,279.00,266.15,273.15,274.564360776499966651,2144031,14385,588674501.00,298917,13.94,12.85,5.95
