Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,39.60,40.15,39.50,39.60,39.745779988126841179,178554,961,7096768.00,87196,48.83,0.65,0.00
28-December-2018,39.10,40.60,38.60,39.25,39.539776557258698192,250713,1279,9913136.00,95408,38.05,2.00,0.15
27-December-2018,39.00,39.50,36.60,38.00,38.176224194215826014,217490,1158,8302947.00,87505,40.23,2.90,-1.00
26-December-2018,39.30,39.50,38.00,38.45,38.447849242851824721,333092,1829,12806671.00,164822,49.48,1.50,-0.85
24-December-2018,40.50,41.00,39.20,39.50,39.703439023534776051,228088,1073,9055878.00,118779,52.08,1.80,-1.00
21-December-2018,41.05,41.80,39.50,40.15,40.221186930007039635,379281,1691,15255132.00,149494,39.42,2.30,-0.90
20-December-2018,40.30,41.95,39.65,41.00,40.947070386745250872,584002,2468,23913171.00,237375,40.65,2.30,0.70
19-December-2018,42.00,42.40,39.00,40.80,40.834677610684107398,1285573,4630,52495959.00,443457,34.49,3.40,-1.20
18-December-2018,37.00,40.85,35.55,40.70,39.398840322278297173,1098926,3982,43296410.00,244218,22.22,5.30,3.70
17-December-2018,38.90,40.00,36.75,37.15,37.846632199028707802,707717,3717,26784705.00,298728,42.21,3.25,-1.75
14-December-2018,43.40,45.80,38.10,38.80,41.774431924002808712,1728906,6287,72224066.00,742066,42.92,7.70,-4.60
13-December-2018,39.25,42.05,39.25,42.05,41.628498956485801277,1601799,4310,66680488.00,432400,26.99,2.80,2.80
12-December-2018,33.50,39.40,33.50,38.25,37.409980309280100490,2356440,6663,88154374.00,702537,29.81,5.90,4.75
11-December-2018,31.00,34.40,31.00,32.85,32.796510950556603343,592253,2088,19423832.00,265090,44.76,3.40,1.85
10-December-2018,27.10,32.30,27.00,31.00,30.102183653204287793,540791,2110,16278990.00,221569,40.97,5.30,3.90
