Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,243.00,244.50,240.05,240.75,241.888694710205946945,236323,2367,57163862.00,80040,33.87,4.45,-2.25
28-December-2018,242.80,243.30,239.90,242.35,241.940312101674359894,404035,4164,97752354.00,108325,26.81,3.40,-0.45
27-December-2018,247.55,252.65,244.00,249.65,247.507939316287506877,514339,5679,127302986.00,126813,24.66,8.65,2.10
26-December-2018,249.90,250.55,246.35,247.30,248.402179439467877116,190783,2212,47390913.00,67280,35.27,4.20,-2.60
24-December-2018,254.00,254.00,247.40,248.70,251.230001951942774558,507187,2206,127420591.00,334813,66.01,6.60,-5.30
21-December-2018,251.50,252.50,247.30,251.70,250.939305075176636318,364874,3137,91561228.00,137273,37.62,5.20,0.20
20-December-2018,249.50,254.00,248.10,251.00,251.026860073657335231,221295,2347,55550989.00,60674,27.42,5.90,1.50
19-December-2018,252.30,253.30,250.35,251.85,252.014961278775097910,225716,2197,56883809.00,101253,44.86,2.95,-0.45
18-December-2018,253.30,254.00,249.40,252.25,251.457301304662141509,206107,2213,51827110.00,58085,28.18,4.60,-1.05
17-December-2018,247.15,254.10,246.40,251.40,250.302433914537836220,207156,2511,51851651.00,54839,26.47,7.70,4.25
14-December-2018,244.95,249.70,242.35,246.75,244.923890063424947145,127237,1516,31163381.00,27396,21.53,7.35,1.80
13-December-2018,249.35,249.35,243.35,244.80,245.141097204657450612,137586,1611,33727983.00,27088,19.69,6.00,-4.55
12-December-2018,241.85,247.65,239.90,247.05,244.597848856495008383,220069,2311,53828404.00,77687,35.30,7.75,5.20
11-December-2018,235.00,243.65,234.60,242.20,240.572733738169484107,201069,2145,48371719.00,28006,13.93,9.05,7.20
10-December-2018,236.00,239.50,228.50,238.60,234.603439135288871147,320662,4127,75228408.00,51911,16.19,11.00,2.60
7-December-2018,242.00,242.90,236.55,236.80,238.583272489323598291,290360,3586,69275039.00,73680,25.38,6.35,-5.20
6-December-2018,246.00,246.00,240.00,240.70,241.470497343444501512,231691,2539,55946541.00,76805,33.15,6.00,-5.30
5-December-2018,251.80,252.25,244.20,245.00,246.421221064747306246,257169,2754,63371899.00,99016,38.50,8.05,-6.80
4-December-2018,251.50,253.85,248.65,252.20,251.138394561574682899,188584,2653,47360683.00,71160,37.73,5.20,0.70
3-December-2018,246.45,251.95,245.45,248.85,249.082406939678447630,574090,4638,142995719.00,283984,49.47,6.50,2.40
30-November-2018,248.00,248.25,239.55,244.30,243.145353759408044565,472468,4811,114878399.00,149379,31.62,8.70,-3.70
29-November-2018,251.95,251.95,241.50,246.65,244.649872268824996008,325684,4019,79678549.00,111184,34.14,10.45,-5.30
28-November-2018,252.50,253.60,247.35,247.85,249.315971418581861337,203069,2348,50628345.00,70254,34.60,6.25,-4.65
27-November-2018,252.70,254.15,250.15,251.90,251.999557516832298879,501714,3640,126431706.00,221098,44.07,4.00,-0.80
26-November-2018,256.50,258.50,247.90,250.70,250.875447550849394377,367556,4665,92210776.00,116032,31.57,10.60,-5.80
22-November-2018,261.00,262.95,256.00,256.75,258.401273628429242024,198331,2321,51248983.00,90946,45.86,6.95,-4.25
21-November-2018,262.00,263.00,260.10,260.95,261.381231671554252199,114235,1404,29858885.00,45719,40.02,2.90,-1.05
20-November-2018,263.80,265.50,261.20,261.40,263.263431247339293316,117450,1242,30920290.00,52430,44.64,4.30,-2.40
19-November-2018,265.10,265.90,262.80,263.60,263.642211609110947832,136100,1344,35881705.00,53182,39.08,3.10,-1.50
