Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1379.50,1379.50,1359.75,1373.70,1373.336550679968637629,36987,1260,50795599.00,14541,39.31,19.75,-5.80
28-December-2018,1372.10,1384.25,1361.00,1365.35,1366.792931463122678861,65162,1975,89062961.00,19438,29.83,23.25,-6.75
27-December-2018,1362.50,1385.00,1355.10,1367.05,1362.784328719783779997,171307,4566,233454495.00,86472,50.48,29.90,4.55
26-December-2018,1372.60,1373.60,1344.35,1362.20,1361.499150676765173797,278457,3566,379118969.00,170332,61.17,29.25,-10.40
24-December-2018,1390.00,1390.15,1352.20,1356.05,1359.580698927718206567,143992,2374,195768744.00,91458,63.52,37.95,-33.95
21-December-2018,1444.00,1444.00,1382.40,1387.80,1398.385677214378040237,101349,3147,141724990.00,27844,27.47,61.60,-56.20
20-December-2018,1392.00,1431.50,1389.80,1425.30,1419.406410230689201544,348911,5122,495246510.00,232968,66.77,41.70,33.30
19-December-2018,1370.00,1404.90,1369.90,1400.40,1396.153397154316271963,335104,6281,467856588.00,179461,53.55,35.00,30.40
18-December-2018,1344.50,1358.95,1330.00,1354.45,1344.254428917077904252,156641,2007,210565358.00,111164,70.97,28.95,9.95
17-December-2018,1342.00,1350.00,1330.30,1334.85,1335.503178400292129639,134187,1925,179207165.00,84263,62.80,19.70,-7.15
14-December-2018,1335.00,1349.55,1319.50,1340.05,1337.709853484414560245,96372,3140,128917774.00,19741,20.48,30.05,5.05
13-December-2018,1340.00,1342.00,1316.00,1320.15,1323.280793907884493203,111751,1595,147877952.00,79430,71.08,26.00,-19.85
12-December-2018,1323.95,1336.50,1312.30,1328.70,1327.680234874698542518,333795,2675,443173024.00,203756,61.04,24.20,4.75
11-December-2018,1263.00,1334.45,1254.35,1323.95,1310.219161946587364487,137533,4933,180198372.00,18373,13.36,80.10,60.95
10-December-2018,1299.00,1306.10,1263.30,1272.70,1276.049341452460283473,95741,2053,122170240.00,44120,46.08,42.80,-26.30
7-December-2018,1311.80,1323.15,1300.00,1318.60,1318.653880756274976113,143387,2595,189077824.00,93719,65.36,23.15,6.80
6-December-2018,1330.00,1330.00,1287.00,1295.05,1300.930323275548374889,68703,1939,89377816.00,32002,46.58,43.00,-34.95
5-December-2018,1330.00,1342.20,1323.65,1328.30,1329.715823762707527580,101613,1251,135116414.00,75072,73.88,18.55,-1.70
4-December-2018,1346.00,1353.75,1326.50,1329.35,1333.418124247349406721,118747,1635,158339402.00,83871,70.63,27.25,-16.65
3-December-2018,1349.90,1360.00,1333.50,1339.90,1343.426346266368056816,49563,1494,66584240.00,11158,22.51,26.50,-10.00
30-November-2018,1352.00,1361.75,1341.00,1344.90,1348.322825407950268919,65633,1929,88494472.00,31401,47.84,20.75,-7.10
29-November-2018,1332.20,1355.65,1332.00,1352.65,1347.221768809541669792,66655,2001,89799067.00,15516,23.28,23.65,20.45
28-November-2018,1341.00,1358.00,1318.15,1323.65,1334.059115662568072062,58394,2026,77901048.00,18800,32.20,39.85,-17.35
27-November-2018,1305.05,1345.90,1305.05,1339.20,1335.722166331321260898,131208,1463,175257434.00,97965,74.66,40.85,34.15
26-November-2018,1330.00,1357.65,1323.00,1349.60,1346.006981887271718163,587377,5369,790613543.00,414013,70.49,34.65,19.60
22-November-2018,1330.00,1330.00,1309.45,1313.85,1314.682843014745260451,112036,1249,147291807.00,80222,71.60,20.55,-16.15
21-November-2018,1326.25,1341.80,1314.00,1322.90,1327.435187231430325352,81450,2504,108119596.00,20117,24.70,27.80,-3.35
20-November-2018,1321.00,1330.90,1304.05,1306.60,1316.681624477968124094,93864,2305,123589004.00,34876,37.16,26.85,-14.40
19-November-2018,1332.90,1332.90,1305.30,1311.90,1309.682797996734282364,91251,2456,119509865.00,51634,56.58,27.60,-21.00
16-November-2018,1320.00,1332.00,1313.55,1320.45,1320.502221659064031086,118380,2100,156321053.00,65653,55.46,18.45,0.45
15-November-2018,1319.90,1333.00,1311.00,1312.25,1313.383484054848113211,523482,2404,687532613.00,57065,10.90,22.00,-7.65
14-November-2018,1322.00,1337.00,1290.00,1319.90,1324.114971854795141248,286905,4496,379895206.00,160294,55.87,47.00,-2.10
13-November-2018,1279.00,1299.00,1279.00,1284.80,1286.064537461400008050,173899,2409,223645337.00,118149,67.94,20.00,5.80
12-November-2018,1298.90,1314.95,1272.85,1275.55,1288.935756805564845160,89706,2844,115625271.00,16746,18.67,42.10,-23.35
