Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2018,1444.00,1450.00,1434.00,1438.50,1445.353299663654671404,94843,4410,137081643.00,35944,37.90,16.00,-5.50
28-December-2018,1415.00,1446.85,1415.00,1439.05,1440.643034106567852578,140061,5401,201777904.00,61589,43.97,31.85,24.05
27-December-2018,1429.00,1433.55,1408.90,1423.30,1420.627392446199482305,105854,4335,150379092.00,27861,26.32,24.65,-5.70
26-December-2018,1403.00,1429.65,1385.00,1422.50,1409.605592309809478180,196198,8774,276561798.00,49768,25.37,44.65,19.50
24-December-2018,1423.50,1429.70,1401.00,1405.05,1409.858342854175321977,77024,2595,108592929.00,27926,36.26,28.70,-18.45
21-December-2018,1451.10,1459.10,1415.85,1420.40,1437.112941270806465623,149653,6309,215068263.00,44763,29.91,43.25,-30.70
20-December-2018,1431.75,1450.80,1423.30,1449.20,1442.548073399476105810,294716,9123,425141998.00,176234,59.80,27.50,17.45
19-December-2018,1428.50,1438.80,1426.80,1434.65,1434.395552736027067473,122952,7453,176361802.00,69479,56.51,12.00,6.15
18-December-2018,1407.00,1430.00,1405.05,1428.40,1423.158913164785165471,116485,5420,165776666.00,57552,49.41,24.95,21.40
17-December-2018,1395.00,1424.05,1395.00,1408.45,1413.156733209727647471,111106,3875,157010192.00,32714,29.44,29.05,13.45
14-December-2018,1424.90,1428.75,1406.00,1411.55,1416.586762548891786179,98176,6241,139074822.00,30725,31.30,22.75,-13.35
13-December-2018,1412.00,1428.35,1406.10,1425.15,1416.738709665903922835,560258,5805,793739196.00,464603,82.93,22.25,13.15
12-December-2018,1366.05,1407.00,1365.65,1400.35,1391.904716498031113700,113262,3736,157649912.00,42180,37.24,41.35,34.30
11-December-2018,1356.00,1369.90,1344.50,1364.70,1360.348448614921459613,164756,5782,224125569.00,55586,33.74,25.40,8.70
10-December-2018,1383.90,1384.80,1358.05,1366.45,1369.253365240801675142,103633,7863,141899834.00,43846,42.31,26.75,-17.45
7-December-2018,1388.60,1402.55,1371.75,1398.45,1392.027990011157749322,94105,2962,130996794.00,35224,37.43,30.80,9.85
6-December-2018,1390.00,1397.50,1372.10,1379.60,1382.339528654123129707,109007,4611,150684685.00,41869,38.41,25.40,-10.40
5-December-2018,1413.00,1418.45,1390.00,1395.65,1403.433024220463430914,83896,3199,117742417.00,36511,43.52,28.45,-17.35
4-December-2018,1424.60,1429.60,1415.10,1419.65,1422.977524421104187641,73502,2553,104591694.00,36769,50.02,14.50,-4.95
3-December-2018,1435.00,1438.95,1411.55,1424.75,1424.314912384560738811,101352,3155,144357165.00,31450,31.03,27.40,-10.25
30-November-2018,1427.95,1434.50,1410.50,1429.65,1423.002795328355351330,104460,3563,148646872.00,45853,43.90,24.00,1.70
29-November-2018,1411.05,1435.00,1409.65,1422.40,1422.558190561518348539,382837,7028,544607910.00,288090,75.25,25.35,11.35
28-November-2018,1430.10,1432.95,1399.25,1403.60,1417.535973668205073163,111804,6575,158486192.00,55688,49.81,33.70,-26.50
27-November-2018,1421.30,1433.80,1415.55,1431.50,1428.175595372807159345,154651,14577,220868784.00,80089,51.79,18.25,10.20
26-November-2018,1410.30,1429.85,1410.30,1421.30,1423.791311813804751022,389011,6416,553870482.00,285668,73.43,19.55,11.00
22-November-2018,1403.00,1418.20,1396.30,1409.35,1411.132974648914827649,109660,4044,154744842.00,44400,40.49,21.90,6.35
21-November-2018,1410.30,1413.20,1393.70,1402.50,1402.118246801263808904,89254,2765,125144662.00,38056,42.64,19.50,-7.80
20-November-2018,1410.00,1422.00,1405.10,1412.70,1414.979308283583805283,130487,4999,184636405.00,55451,42.50,16.90,2.70
19-November-2018,1402.00,1419.50,1394.10,1416.05,1409.270305622456606594,144492,7473,203628285.00,65114,45.06,25.40,14.05
16-November-2018,1401.00,1412.85,1391.00,1396.00,1402.012011273883262871,122052,5525,171118370.00,44629,36.57,21.85,-5.00
15-November-2018,1385.05,1408.70,1385.00,1397.35,1399.926158313784653486,229342,10295,321061865.00,107725,46.97,23.70,12.30
14-November-2018,1392.00,1396.45,1378.70,1383.95,1386.043266649548308784,85678,3267,118753415.00,28720,33.52,17.75,-8.05
13-November-2018,1365.00,1395.00,1358.80,1391.15,1380.270196943695350167,428295,7057,591162824.00,111312,25.99,36.20,26.15
12-November-2018,1369.90,1383.00,1362.80,1367.00,1371.541243227931022272,112964,3777,154934785.00,41156,36.43,20.20,-2.90
9-November-2018,1365.00,1377.65,1360.00,1366.70,1368.167040874293288608,73934,2955,101154062.00,28421,38.44,17.65,1.70
7-November-2018,1370.00,1370.60,1364.00,1366.45,1367.223961352657004830,31050,1884,42452304.00,18660,60.10,6.60,-3.55
6-November-2018,1351.00,1369.50,1351.00,1358.05,1359.076794247954040645,252571,3525,343263385.00,44042,17.44,18.50,7.05
5-November-2018,1359.00,1364.75,1344.00,1351.05,1352.356060681820454613,99997,3225,135231549.00,37662,37.66,20.75,-7.95
2-November-2018,1344.00,1369.00,1339.55,1357.20,1358.024073633497888538,201756,7914,273989505.00,71974,35.67,29.45,13.20
1-November-2018,1336.15,1382.00,1321.95,1332.80,1350.819822788923476867,1083228,24554,1463245855.00,553933,51.14,60.05,-3.35
31-October-2018,1267.00,1303.00,1250.00,1298.35,1280.427380939862669428,190198,6429,243534727.00,65407,34.39,53.00,31.35
30-October-2018,1260.00,1277.25,1249.25,1271.50,1266.749729085392284351,166104,6725,210412197.00,66238,39.88,28.00,11.50
29-October-2018,1210.00,1264.90,1199.00,1260.80,1241.541930830494708641,164986,5884,204837037.00,55819,33.83,65.90,50.80
26-October-2018,1202.80,1211.95,1192.10,1197.95,1201.225261613691931540,102250,4128,122825283.00,36810,36.00,19.85,-4.85
25-October-2018,1218.85,1218.85,1195.25,1202.80,1204.068395088889076924,118181,4346,142298007.00,42336,35.82,23.60,-16.05
24-October-2018,1210.05,1222.00,1205.10,1218.85,1213.569172923523830719,85373,3357,103606041.00,36022,42.19,16.90,8.80
23-October-2018,1198.00,1209.35,1183.40,1197.80,1196.296070183638098576,102702,4077,122861999.00,40220,39.16,25.95,-0.20
22-October-2018,1212.00,1217.70,1201.00,1206.50,1209.142172722747635639,64288,2513,77733332.00,22707,35.32,16.70,-5.50
19-October-2018,1203.00,1215.15,1186.00,1208.15,1199.661949875792755407,140491,5344,168541707.00,39534,28.14,29.15,5.15
17-October-2018,1233.05,1240.00,1208.00,1211.25,1220.266891341445636421,116613,4188,142298983.00,44734,38.36,32.00,-21.80
16-October-2018,1220.10,1229.50,1217.50,1224.35,1224.268213898537578265,90398,3768,110671398.00,32607,36.07,12.00,4.25
15-October-2018,1225.60,1234.90,1210.00,1216.95,1216.858819936650426828,140806,5043,171341023.00,50104,35.58,24.90,-8.65
12-October-2018,1222.00,1244.25,1218.00,1234.95,1234.000896023893970505,133925,5140,165263570.00,45589,34.04,26.25,12.95
11-October-2018,1230.00,1237.25,1221.00,1226.20,1227.224849365265512189,321473,9429,394519654.00,174732,54.35,16.25,-3.80
10-October-2018,1225.15,1266.00,1225.15,1252.35,1247.903614781394349554,297888,10373,371735512.00,145353,48.79,40.85,27.20
9-October-2018,1225.00,1236.10,1215.65,1221.35,1224.846834128747859667,219592,11067,268966566.00,119875,54.59,20.45,-3.65
8-October-2018,1231.25,1244.00,1203.50,1216.00,1218.847786880723021029,344333,11972,419689515.00,137384,39.90,40.50,-15.25
